produto_acao,Tipo de Evento,sum
ALUP11,Dividendo,68.87
BBSE3,Dividendo,177.22
BBSE3,Rendimento,0.18
BPAC11,Juros Sobre Capital Próprio,41.910000000000004
BRAP4,Dividendo,414.15
BRAP4,Juros Sobre Capital Próprio,22.87
EGIE3,Dividendo,212.82
EGIE3,Juros Sobre Capital Próprio,12.03
ENBR3,Dividendo,276.19
ENBR3,Juros Sobre Capital Próprio,87.38
HSML11,Rendimento,110.16
ITSA4,Dividendo,52.839999999999996
ITSA4,Juros Sobre Capital Próprio,168.31
LEVE3,Dividendo,34.83
LEVE3,Juros Sobre Capital Próprio,43.04
PETR4,Dividendo,358.2
PETR4,Juros Sobre Capital Próprio,69.97
PETR4,Rendimento,0.33
RBRP11,Rendimento,122.98
TAEE11,Dividendo,604.02
TAEE11,Juros Sobre Capital Próprio,106.73
TUPY3,Juros Sobre Capital Próprio,23.66
UNIP6,Dividendo,2733.65
VIVT3,Dividendo,52.87
VIVT3,Juros Sobre Capital Próprio,10.64
VIVT4,Juros Sobre Capital Próprio,16.41
WIZS3,Dividendo,176.56
